HotelName,Location,Price,Rating,DistanceFromCenter,RoomType,OriginalPrice,PricePerNight,Discount
Nikki Beach Resort & Spa Dubai,Beach & Coast,2584.0,9.2,5.9,Covet King Room,3692.0,646.0,30.01
Atana Hotel,Al Barsha,473.0,8.5,14.1,Standard Twin Room,473.0,118.25,0.0
TRYP by Wyndham Dubai,Barsha Heights (Tecom),951.0,8.7,14.7,Tryp Room,951.0,237.75,0.0
Golden Tulip Media Hotel,Barsha Heights (Tecom),642.0,8.5,14.2,Standard Room (Free transfers to the beach and selected malls & 20% discount on F&B & Spa),642.0,160.5,0.0
Grand Mercure Dubai City,Garhoud,589.0,8.3,9.5,"Deluxe Twin Room - DXB Free Airport Drop-Off T1&T3 every hour (24/7), Free Shuttle Service to Dubai Mall - Burj Khalifa & La Mer Beach",589.0,147.25,0.0
"Courtyard by Marriott Dubai, Al Barsha",Al Barsha,853.0,9.4,11.7,Standard King Room,853.0,213.25,0.0
Sofitel Dubai The Obelisk,Bur Dubai,1439.0,9.1,6.1,Deluxe Room,1439.0,359.75,0.0
Avani Ibn Battuta Dubai Hotel,Discovery Gardens,615.0,8.7,22.7,AVANI Superior Room,615.0,153.75,0.0
Media One Hotel,Dubai Media City,1082.0,8.7,16.9,Standard Double Room,1082.0,270.5,0.0
Holiday Inn Express Dubai Safa Park by IHG,Al Wasl,789.0,8.2,1.9,Standard King Room with Sofa Bed - Non-Smoking,789.0,197.25,0.0
Urban Oasis - 2BR 6PAX - Infinity Pool & Near Metro,Business Bay,2454.0,8.2,1.8,Two-Bedroom Apartment with Water View,2454.0,613.5,0.0
Hilton Dubai Palm Jumeirah,Palm Jumeirah,1602.0,9.1,16.1,Double Room with Two Double Beds and Balcony,1602.0,400.5,0.0
Hampton By Hilton Dubai Al Barsha,Al Barsha,697.0,8.4,12.1,King Room - Non-Smoking,697.0,174.25,0.0
Ibis Deira Creekside Dubai,Deira,489.0,7.8,8.9,Standard Twin Room,489.0,122.25,0.0
"City Views 1BR with Balcony Near Dubai Water Canal, Zada Tower, Business Bay by Deluxe Holiday Homes",Business Bay,941.0,7.8,1.6,One-Bedroom Apartment,941.0,235.25,0.0
"Radisson Blu Hotel, Dubai Media City",Dubai Media City,981.0,8.0,16.3,Superior Room,1402.0,245.25,30.03
Ramada by Wyndham Dubai Barsha Heights,Barsha Heights (Tecom),757.0,8.5,14.7,King Room with Mobility Access and Walk-In Shower - Smoking,757.0,189.25,0.0
"Iconic Studio Canal & Burj View Central, Scenic Serene",Dubai,1126.0,8.5,1.7,Studio Apartment with Balcony,1126.0,281.5,0.0
EGATE - Studio - 10th Floor - Balcony with a View - 01-1018,Dubai,1157.0,8.5,3.6,Apartment,1157.0,289.25,0.0
EGATE - Studio - 1st Floor with Terrace - Dubai 31-109,Dubai,1318.0,8.5,4.3,Apartment,1318.0,329.5,0.0
Stunning 1 Bdr Luxury District one,Dubai,1455.0,8.5,3.8,One-Bedroom Apartment,1455.0,363.75,0.0
Central Business Bay by StayInHomes - 10 mins Burj Khalifa - 1BED - Parking - Pool - Gym,Business Bay,1367.0,8.5,1.8,One-Bedroom Apartment,1367.0,341.75,0.0
Crowne Plaza Dubai Festival City,Dubai Festival City,1325.0,9.0,8.3,Standard King Room with Waterfront View,1893.0,331.25,30.01
Urban Retreat Cozy Business Bay Studio Canal Burj View,Dubai,1242.0,9.0,1.7,Studio Apartment with Balcony,1242.0,310.5,0.0
Central Business Bay Studio by StayInHomes - 10 mins Burj Khalifa - Parking - Pool - Gym,Business Bay,1448.0,9.0,1.8,One-Bedroom Apartment,1448.0,362.0,0.0
Lovely 1BR in Business Bay - Burj Khalifa View - High floor!,Business Bay,1338.0,9.0,1.4,One-Bedroom Apartment,1338.0,334.5,0.0
Shada Hotel Jumeirah Garden,Al Satwa,890.0,8.5,3.1,King Room,890.0,222.5,0.0
Rove City Walk,Al Wasl,898.0,9.0,1.2,Rover Room - Free Shuttle Bus To The Beach & Dubai Mall,898.0,224.5,0.0
First Central Hotel Suites,Barsha Heights (Tecom),713.0,8.6,14.7,Classic Studio King,713.0,178.25,0.0
Flora Al Barsha Hotel At The Mall,Al Barsha,743.0,8.2,11.6,Classic King/ Twin Room - Complimentary Transfer To Beach,991.0,185.75,25.03
Hilton Dubai Jumeirah,Jumeirah Beach Residence,1426.0,8.4,19.0,Deluxe Room with 2 Queen Beds and Partial Sea View,1426.0,356.5,0.0
Ramada by Wyndham Downtown Dubai,Downtown Dubai,1521.0,8.7,250.0,"1 Bedroom, Balcony King, Downtown View, Smoking, Complimentary Transfer to Kite Beach, Dubai Mall and Metro Station",1690.0,380.25,10.0
Grand Cosmopolitan Hotel,Al Barsha,1287.0,9.2,12.1,Superior Twin Room - Complimentary Luxury Transfers to Jumeirah Beach and Mall of Emirates,1287.0,321.75,0.0
Luxury FIVE Palm 1 bedroom,Palm Jumeirah,927.0,9.2,16.1,One-Bedroom Apartment,1030.0,231.75,10.0
Seven Palm Luxury 1 bedroom,Palm Jumeirah,649.0,9.2,16.3,One-Bedroom Apartment,721.0,162.25,9.99
Hilton Garden Inn Dubai Business Bay,Business Bay,1201.0,8.8,1.6,King Room - Mobility Accessible,1201.0,300.25,0.0
The First Collection Dubai Marina,Dubai Marina,966.0,8.8,20.2,Superior Room,1287.0,241.5,24.94
IntercityHotel Dubai Jaddaf Waterfront,Bur Dubai,642.0,8.0,7.5,Superior King Room (Includes 15% Off F&B and Shuttle Service to Festival City Mall),642.0,160.5,0.0
Well-furnished 3 Bedroom in Park Towers DIFC,Trade Centre,2509.0,8.0,1.7,Apartment,2509.0,627.25,0.0
City Seasons Suites,Deira,609.0,8.6,8.9,Premium Studio,708.0,152.25,13.98
The Seven Palm,Palm Jumeirah,977.0,8.6,16.4,One-Bedroom Apartment,977.0,244.25,0.0
Millennium Place Dubai Marina,Dubai Marina,1150.0,8.8,19.5,Superior King Room,1150.0,287.5,0.0
Sky Bay Dubai Business Bay,Business Bay,1352.0,9.0,1.8,Deluxe King Room,2081.0,338.0,35.03
"Delta Hotels by Marriott Jumeirah Beach, Dubai",Jumeirah Beach Residence,1057.0,8.8,19.0,Deluxe Guest Room King – Complimentary Beach Kit,1057.0,264.25,0.0
Mercure Dubai Barsha Heights Hotel Suites And Apartments,Barsha Heights (Tecom),521.0,8.2,14.5,"One-Bedroom Apartment City View King OR Twin Bed with Free Shuttle Beach Transfer, Next to Metro Station",1021.0,130.25,48.97
2 bedroom with Beach View,Jumeirah,2272.0,8.2,4.1,One-Bedroom Apartment,2272.0,568.0,0.0
Majestic Studio in Bloom Tower C Perfect for 2,Dubai,878.0,8.2,15.8,Studio,878.0,219.5,0.0
Rove Downtown,Zabeel,1117.0,9.3,1.1,Rover Room - Free Shuttle Bus To The Beach & Dubai Mall,1117.0,279.25,0.0
Radisson Beach Resort Palm Jumeirah,Palm Jumeirah,1328.0,8.5,16.3,Superior Room,1328.0,332.0,0.0
Premier Inn Dubai Barsha Heights,Barsha Heights (Tecom),473.0,8.8,14.3,Double Room - Smoking - Drop off to Public Beach and Metro,473.0,118.25,0.0
Mercure Dubai Gold District,Deira,521.0,8.2,9.4,Superior Queen Room,521.0,130.25,0.0
Premier Inn Dubai Ibn Battuta Mall,Discovery Gardens,403.0,8.4,22.7,Standard Double Non-Smoking,403.0,100.75,0.0
Premier Inn Dubai Al Jaddaf,Bur Dubai,386.0,8.4,6.6,Double Room - Non Smoking - Free Shuttle to Festival City Mall,386.0,96.5,0.0
Four Points by Sheraton Sheikh Zayed Road,Trade Centre,988.0,8.5,2.1,Classic Twin Room with Balcony - Complimentary shuttle service to Dubai Mall and Kite Beach,988.0,247.0,0.0
An Exceptional Studio in Bloom Tower that Sleeps 2,Dubai,815.0,8.5,15.9,Studio,815.0,203.75,0.0
Marriott Executive Apartments Dubai Creek,Deira,916.0,8.4,8.7,One-Bedroom Apartment,916.0,229.0,0.0
Court Tower,Dubai,852.0,8.4,1.8,One-Bedroom House,852.0,213.0,0.0
Luxury studio near Burj Khalifa,Dubai,777.0,8.4,3.0,One-Bedroom Apartment,971.0,194.25,19.98
"Hotel Avalon Dubai Jumeirah Village, by The First Collection",Dubai,631.0,8.6,16.9,"King Room - 20% Discount on Food & Beverage, Early Check In at 10AM and Late Check Out at 3PM",1052.0,157.75,40.02
Tiger Tower,Dubai Marina,613.0,8.6,17.2,Apartment with Balcony,767.0,153.25,20.08
Damac MERANO LUX 2 bedroom 3 baths,Dubai,1169.0,8.6,1.7,One-Bedroom Apartment,1169.0,292.25,0.0
Bookable - Modern Studio in Business Bay,Business Bay,1312.0,8.6,2.0,One-Bedroom Apartment,1312.0,328.0,0.0
Modern 1-Bedroom Apartment for Rent at Al Jaddaf,Bur Dubai,607.0,8.6,4.8,One-Bedroom Apartment,607.0,151.75,0.0
Admiral Plaza Hotel,Bur Dubai,547.0,8.1,7.5,Superior Double Room,547.0,136.75,0.0
"Rove City Centre, Deira",Deira,621.0,9.2,9.0,Rover Room - Free Shuttle Bus To The Beach & Outlet Mall,621.0,155.25,0.0
Feel the Luxury in this 1 Bedroom in East 40 Tower,Dubai,878.0,9.2,23.5,Apartment,878.0,219.5,0.0
1BR Apartment with Canal View near Dubai Mall & Burj Khalifa,Business Bay,1307.0,9.2,1.3,One-Bedroom Apartment,1634.0,326.75,20.01
Excellent 1 Bedroom in Zada Tower with Balcony,Business Bay,1192.0,9.2,1.6,Apartment,1192.0,298.0,0.0
Gevora Hotel,Trade Centre,1159.0,8.7,2.0,Deluxe Room,1159.0,289.75,0.0
"Ramada Hotel, Suites and Apartments by Wyndham Dubai JBR",Jumeirah Beach Residence,1314.0,8.3,19.8,"Deluxe King Room, including Complimentary Beach Accessories",1546.0,328.5,15.01
Best Western Premier M Four Hotel,Deira,473.0,7.9,8.9,Large Superior King Room - Non-Smoking,473.0,118.25,0.0
Stylish 2-Bedroom Apartment in Azizi Riviera-Dubai,Dubai,1869.0,7.9,4.6,Two-Bedroom Apartment,1869.0,467.25,0.0
Howard Johnson Plaza by Wyndham Dubai Deira,Deira,411.0,6.6,9.2,Deluxe King Room - Non-Smoking,447.0,102.75,8.05
Sky-high Downtown 1br Steps From Burj Khalifa,Downtown Dubai,1645.0,6.6,350.0,One-Bedroom Apartment,1645.0,411.25,0.0
Holiday Inn & Suites - Dubai Festival City by IHG,Dubai Festival City,998.0,8.7,9.2,Standard Waterfront View,1426.0,249.5,30.01
"Sheraton Grand Hotel, Dubai",Trade Centre,1178.0,8.8,4.1,"Deluxe Room, Guest room, King",1178.0,294.5,0.0
"Aloft Al Mina, Dubai Jumeirah",Bur Dubai,805.0,8.4,6.0,Aloft Room Guest Room with 1 King Bed - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off,805.0,201.25,0.0
Studio M Al Barsha Hotel by Millennium,Al Barsha,624.0,8.1,11.1,Urban King Room with 20% Discount on SPA,624.0,156.0,0.0
Fresh & Stylish 2br Living At Collective Tower 1,Dubai,1770.0,8.1,11.0,Two-Bedroom Apartment,2212.0,442.5,19.98
